序号,日语词汇,假名,词性,陌生程度,翻译,
2087,障る,さわる,自動詞,9,有害，妨碍,
2088,差し支える,さしつかえる,自動詞,9,妨碍,
2089,阻止,そし,名詞/サ変,9,阻止,
2090,邪魔,じゃま,名詞/形容動詞/サ変,9,打扰,
2091,遮断,しゃだん,名詞/サ変,9,遮断,
2092,遮る,さえぎる,他動詞,9,遮挡,
2093,生やす,はやす,他動詞,9,留，蓄；使生长,
2094,髭,ひげ,名詞,9,胡子,
2095,口ひげ,くちひげ,名詞,9,八字胡,
2096,生える,はえる,自動詞,9,生，长,
2097,根付く,ねづく,自動詞,9,扎根,
2098,流行る,はやる,自動詞,9,流行,
2099,はらはら,はらはら,副詞/サ变,9,捏一把汗；飘落,
2100,心配,しんぱい,名詞/形容動詞/サ変,9,担心,
2101,気を揉む,きをもむ,動詞句,9,焦急，操心,
2102,舞う,まう,自動詞,9,飞舞,
2103,散る,ちる,自動詞,9,散落,
2104,落ちる,おちる,自動詞,9,落下,
2105,ばらばら,ばらばら,名詞/副詞/形容動詞,9,零乱,
2106,ばら蒔く,ばらまく,他動詞,9,散步到处；散发,
2107,小銭,こぜに,名詞,9,零钱,
2108,ばら,ばら,名詞,9,散乱,
2109,撒く・蒔く,まく,他動詞,9,撒,
2110,散らす,ちらす,他動詞,9,分散,
2111,疎ら,まばら,形容動詞,9,稀疏,
2112,遥か,はるか,副詞/形容動詞,9,远方，遥远,
2113,水平線,すいへいせん,名詞,9,水平线,
2114,朝日,あさひ,名詞,9,旭日,
2115,昇る,のぼる,自動詞,9,升起,
2116,遥かに,はるかに,副詞,9,远,
2117,遥々,はるばる,副詞,9,迢迢,
2118,腫れる,はれる,自動詞,9,肿,
2119,膨れる,ふくれる,自動詞,9,胀,
2120,気触れる,かぶれる,自動詞,9,起炎症,
2121,咎める,とがめる,自他動詞,9,红肿，发炎,
2122,繁盛,はんじょう,名詞/サ変,9,繁盛,
2123,評判になる,ひょうばんになる,動詞句,9,有名,
2124,盛る,さかる,自動詞,9,繁荣,
2125,盛る,もる,他動詞,9,盛,
2126,盛大,せいだい,名詞/形容動詞,9,盛大,
2127,繁栄,はんえい,名詞/サ変,9,繁荣,
2128,栄える,さかえる,自動詞,9,兴旺,
2129,賑わう,にぎわう,自動詞,9,热闹,
2130,反する,はんする,自動詞,9,违反，相反,
2131,抗する,こうする,自動詞,9,抗拒,
2132,抵抗,ていこう,名詞/サ变,9,抵抗,
2133,反抗,はんこう,名詞/サ変,9,反抗,
2134,反骨,はんこつ,名詞,9,反骨,
2135,逆さま,さかさま,名詞/形容動詞,9,颠倒,
2136,逆らう,さからう,自動詞,9,违抗,
2137,違反,いはん,名詞/サ変,9,违反,
2138,犯す,おかす,他動詞,9,犯,
2139,比べる,くらべる,他動詞,9,比较,
2140,对する,たいする,自動詞,9,面对，相对,
2141,反発,はんぱつ,名詞/サ変,9,反抗,
2142,万能,ばんのう,名詞/形容動詞,9,万能，全能,
2143,万歳,ばんざい,名詞/サ変,9,万岁,
2144,万全,ばんぜん,名詞/形容動詞,9,万全,
2145,万事,バんじ,名詞,9,万事,
2146,半端,はんぱ,名詞/形容動詞,9,零散；不彻底,
2147,不揃い,ふそろい,名詞/形容動詞,9,不整齐,
2148,いい加減,いいかげん,名詞/形容動詞,9,马虎,
2149,役に立つ,やくにたつ,動詞句,9,起作用,
2150,一人前,いちにんまえ,名詞,9,成人，独当一面,
2151,反発,はんぱつ,名詞/サ変,9,反抗，反感；排斥,
2152,猛反対,もうはんたい,名詞/サ変,9,强烈反对,
2153,賛成,さんせい,名詞/サ変,9,赞成,
2154,従う,したがう,自動詞,9,服从,
2155,受け付ける,うけつける,他動詞,9,受理,
2156,活発,かっぱつ,名詞/形容動詞,9,活泼,
2157,触発,しょくはつ,名詞/サ変,9,触发,
2158,ひいては,ひいては,接続詞,9,不但~而且，进而,
2159,ひいて,ひいて,接続詞,9,进而,
2160,更に,さらに,副詞,9,进一步,
2161,控える,ひかえる,他動詞,9,控制，记录；临近,
2162,間近,まぢか,名詞/形容動詞,9,接近,
2163,控除,こうじょ,名詞/サ変,9,扣除,
2164,抑制,よくせい,名詞/サ変,9,抑制,
2165,抑える,おさえる,他動詞,9,压制,
2166,メモする,めもする,名詞/サ変,9,记录,
2167,書き留める,かきとめる,他動詞,9,记下,
2168,临む,のぞむ,自動詞,9,临近，参加,
2169,密か,ひそか,形容動詞,9,暗中，悄悄,
2170,こっそり,こっそり,副詞,9,悄悄,
2171,把握,はあく,名詞/サ変,9,掌握,
2172,あまりに,あまりに,副詞,9,过于，非常,
2173,握手,あくしゅ,名詞,9,握手,
2174,理解,りかい,名詞/サ変,9,理解,
2175,背景,はいけい,名詞,9,背景,
2176,背後,はいご,名詞,9,背后，幕后,
2177,ちらつく,ちらつく,自動詞,9,若隐若现,
2178,ちらりと,ちらりと,副詞,9,一闪一过,
2179,ちらっと,ちらっと,副詞,9,一晃而过,
2180,ちらちら,ちらちら,副詞/サ変,9,闪烁不定,
2181,拝借,はいしゃく,名詞/サ変,9,借（自谦）,
2182,恩恵,おんけい,名詞,9,恩惠,
2183,恵まれる,めぐまれる,自動詞,9,富有，恩赐,
2184,拝見,はいけん,名詞/サ変,9,看（自谦）,
2185,拝読,はいどく,名詞/サ変,9,读（自谦）,
2186,借金,しゃっきん,名詞/サ変,9,借钱,
2187,謝金,しゃきん,名詞,9,酬金,
2188,配分,はいぶん,名詞/サ変,9,分配,
2189,相続人,そうぞくにん,名詞,9,继承人,
2190,紹介,しょうかい,名詞/サ変,9,介绍,
2191,平和,へいわ,名詞/形容動詞,9,和平,
2192,段階,だんかい,名詞,9,阶段,
2193,遺言,ゆいごん,名詞/サ変,9,遗言,
2194,受け継ぐ,うけつぐ,他動詞,9,继承,
2195,踏襲,とうしゅう,名詞/サ変,9,沿袭,
2196,配る,くばる,他動詞,9,分发,
2197,分ける,わける,他動詞,9,区分,
2198,配列,はいれつ,名詞/サ変,9,排列,
2199,並べる,ならべる,他動詞,9,摆放,
2200,連ねる,つらねる,他動詞,9,列举，连接,
2201,陳列,ちんれつ,名詞/サ変,9,陈列,
2202,捗る,はかどる,自動詞,9,进展顺利,
2203,円滑,えんかつ,名詞/形容動詞,9,顺利,
2204,順調,じゅんちょう,名詞/形容動詞,9,顺利,
2205,スムーズ,すむーず,形容動詞,9,流畅,
2206,儚い,はかない,形容詞,9,短暂的，虚幻的,
2207,虚しい,むなしい,形容詞,9,空虚,
2208,虚ろ,うつろ,名詞/形容動詞,9,空洞,
2209,短い,みじかい,形容詞,9,短,
2210,味気ない,あじけない,形容詞,9,无聊,
2211,あっけない,あっけない,形容詞,9,太简单，不尽兴,
2212,あどけない,あどけない,形容詞,9,天真无邪,
2213,幼い,おさない,形容詞,9,幼小,
2214,だらしない,だらしない,形容詞,9,邋遢,
2215,剥ぐ,はぐ,他動詞,9,扒下，剥下；剥夺,
2216,身ぐるみ,みぐるみ,名詞,9,全身衣服,
2217,去る,さる,自他動詞,9,离开,
2218,持ち去る,もちさる,他動詞,9,带走,
2219,取り除く,とりのぞく,他動詞,9,去除,
2220,脱がす,ぬがす,他動詞,9,使脱下,
2221,奪う,うばう,他動詞,9,夺,
2222,取り上げる,とりあげる,他動詞,9,采纳；没收,
2223,剥げる,はげる,自動詞,9,剥落,
2224,褪せる,あせる,自動詞,9,褪色,
2225,迫害,はくがい,名詞/サ変,9,迫害,
2226,贯く,つらぬく,他動詞,9,贯彻,
2227,白状,はくじょう,名詞/サ変,9,坦白，招认,
2228,告白,こくはく,名詞/サ変,9,告白,
2229,打ち明ける,うちあける,他動詞,9,坦率说出,
2230,明かす,あかす,他動詞,9,揭露,
2231,隠す,かくす,他動詞,9,隐藏,
2232,漠然,ばくぜん,形容動詞,9,含糊，模糊,
2233,沙漠,さばく,名詞,9,沙漠,
2234,莫大,ばくだい,名詞/形容動詞,9,莫大,
2235,曖昧,あいまい,名詞/形容動詞,9,暧昧,
2236,あやふや,あやふや,形容動詞,9,含糊,
2237,はっきりしない,はっきりしない,動詞句,9,不清楚,
2238,不明確,ふめいかく,名詞/形容動詞,9,不明确,
2239,依然,いぜん,副詞,9,依然,
2240,呆然,ぼうぜん,副詞/サ変/形容動詞,9,发呆,
2241,茫然,ぼうぜん,副詞/サ変/形容動詞,9,茫然,
2242,励ます,はげます,他動詞,9,激励，鼓励,
2243,激励,げきれい,名詞/サ変,9,激励,
2244,力づける,ちからづける,他動詞,9,鼓励,
2245,応援,おうえん,名詞/サ変,9,助威,
2246,励む,はげむ,自動詞,9,努力,
2247,努める,つとめる,自動詞,9,努力,
2248,精出す,せいだす,自動詞,9,努力,
2249,最善を尽くす,さいぜんをつくす,動詞句,9,尽最大努力,
2250,怠る,おこたる,他動詞,9,懈怠,
2251,怠ける,なまける,自他動詞,9,偷懒,
2252,弾く,はじく,他動詞,9,防，抗；弹开,
2253,防ぐ,ふせぐ,他動詞,9,防御,
2254,弾ける,はじける,自動詞,9,弹开,
2255,恥じらう,はじらう,自動詞,9,害羞,
2256,恥,はじ,名詞,9,耻辱,
2257,照れくさい,てれくさい,形容詞,9,难为情,
2258,きまり悪い,きまりわるい,形容詞,9,不好意思,
2259,恥じる,はじる,自動詞,9,惭愧，羞愧,
2260,恥をかく,はじをかく,動詞句,9,丢脸,
2261,面目ない,めんぼくない,形容詞,9,没脸见人,
2262,破廉恥,はれんち,名詞/形容動詞,9,无耻,
2263,橋渡し,はしわたし,名詞/サ変,9,搭桥，中间人,
2264,仲介,ちゅうかい,名詞/サ変,9,仲介,
2265,渡す,わたす,他動詞,9,交给,
2266,渡る,わたる,自動詞,9,渡,
2267,弾む,はずむ,自動詞,9,情绪高涨；跳，蹦,
2268,破損,はそん,名詞/サ変,9,破损，损坏,
2269,破片,はへん,名詞,9,碎片,
2270,損失,そんしつ,名詞/サ変,9,损失,
2271,損得,そんとく,名詞,9,得失,
2272,破る,やぶる,他動詞,9,弄破,
2273,破れる・敗れる,やぶれる,自動詞,9,破裂；失败,
2274,損なう,そこなう,他動詞,9,损坏,
2275,壊れる,こわれる,自動詞,9,坏,
2276,割れる,われる,自動詞,9,碎,
2277,発生,はっせい,名詞/サ変,9,发生,
2278,生じる,しょうじる,自他動詞,9,产生,
2279,発刊,はっかん,名詞/サ変,9,创刊,
2280,発掘,はっくつ,名詞/サ変,9,发掘,
2281,発行,はっこう,名詞/サ変,9,发行,
2282,发达,はったつ,名詞/サ変,9,发达,
2283,発売,はつばい,名詞/サ変,9,发售,
2284,初耳,はつみみ,名詞,9,初次听到,
2285,初恋,はつこい,名詞,9,初恋,
2286,初詣,はつもうで,名詞/サ変,9,初诣,
2287,初日の出,はつひので,名詞,9,元旦日出,
2288,果て,はて,名詞,9,边际，尽头,
2289,冒険,ぼうけん,名詞/サ変,9,冒险,
2290,果てしない,はてしない,形容詞,9,无边无际,
2291,果たす,はたす,他動詞,9,发挥，实现,
2292,ばてる,ばてる,自動詞,9,疲乏，精疲力竭,
2293,疲れる,つかれる,自動詞,9,疲劳,
2294,草臥れる,くたびれる,自動詞,9,疲劳,
2295,くたくた,くたくた,形容動詞/副詞,9,筋疲力尽,
2296,甚だ,はなはだ,副詞,9,太，非常,
2297,とても,とても,副詞,9,非常,
2298,かなり,かなり,副詞/形容動詞,9,颇,
2299,極めて,きわめて,副詞,9,极其,
2300,極,ごく,副詞,9,极,
2301,誠に,まことに,副詞,9,诚,
2302,いかにも,いかにも,副詞,9,果然,
2303,至って,いたって,副詞,9,非常,
2304,甚だしい,はなはだしい,形容詞,9,很，甚,
2305,華々しい,はなばなしい,形容詞,9,华丽，轰轰烈烈,
2306,見事,みごと,名詞/形容動詞,9,精彩,
2307,立派,りっぱ,名詞/形容動詞,9,出色,
2308,目覚ましい,めざましい,形容詞,9,惊人,
2309,目立つ,めだつ,自動詞,9,引人注目,
2310,華やか,はなやか,形容動詞,9,华丽,
2311,派手やか,はでやか,形容動詞,9,华丽,
2312,阻む,はばむ,他動詞,9,阻碍，阻拦,
2313,割れ目,われめ,名詞,9,裂缝,
2314,妨げる,さまたげる,他動詞,9,妨碍,
2315,障る,さわる,自動詞,9,有害，妨碍,
2316,差し支える,さしつかえる,自動詞,9,妨碍,
2317,阻止,そし,名詞/サ変,9,阻止,
2318,邪魔,じゃま,名詞/形容動詞/サ変,9,打扰,
2319,遮断,しゃだん,名詞/サ変,9,遮断,
2320,遮る,さえぎる,他動詞,9,遮挡,
2321,生やす,はやす,他動詞,9,留，蓄；使生长,
2322,髭,ひげ,名詞,9,胡子,
2323,口ひげ,くちひげ,名詞,9,八字胡,
2324,生える,はえる,自動詞,9,生，长,
2325,根付く,ねづく,自動詞,9,扎根,
2326,流行る,はやる,自動詞,9,流行,
2327,はらはら,はらはら,副詞/サ变,9,捏一把汗；飘落,
2328,心配,しんぱい,名詞/形容動詞/サ変,9,担心,
2329,気を揉む,きをもむ,動詞句,9,焦急，操心,
2330,舞う,まう,自動詞,9,飞舞,
2331,散る,ちる,自動詞,9,散落,
2332,落ちる,おちる,自動詞,9,落下,
2333,ばらばら,ばらばら,名詞/副詞/形容動詞,9,零乱,
2334,ばら蒔く,ばらまく,他動詞,9,散步到处；散发,
2335,小銭,こぜに,名詞,9,零钱,
2336,ばら,ばら,名詞,9,散乱,
2337,撒く・蒔く,まく,他動詞,9,撒,
2338,散らす,ちらす,他動詞,9,分散,
2339,疎ら,まばら,形容動詞,9,稀疏,
2340,遥か,はるか,副詞/形容動詞,9,远方，遥远,
2341,水平線,すいへいせん,名詞,9,水平线,
2342,朝日,あさひ,名詞,9,旭日,
2343,昇る,のぼる,自動詞,9,升起,
2344,遥かに,はるかに,副詞,9,远,
2345,遥々,はるばる,副詞,9,迢迢,
2346,腫れる,はれる,自動詞,9,肿,
2347,膨れる,ふくれる,自動詞,9,胀,
2348,気触れる,かぶれる,自動詞,9,起炎症,
2349,咎める,とがめる,自他動詞,9,红肿，发炎,
2350,繁盛,はんじょう,名詞/サ変,9,繁盛,
2351,評判になる,ひょうばんになる,動詞句,9,有名,
2352,盛る,さかる,自動詞,9,繁荣,
2353,盛る,もる,他動詞,9,盛,
2354,盛大,せいだい,名詞/形容動詞,9,盛大,
2355,繁栄,はんえい,名詞/サ変,9,繁荣,
2356,栄える,さかえる,自動詞,9,兴旺,
2357,賑わう,にぎわう,自動詞,9,热闹,
2358,反する,はんする,自動詞,9,违反，相反,
2359,抗する,こうする,自動詞,9,抗拒,
2360,抵抗,ていこう,名詞/サ变,9,抵抗,
2361,反抗,はんこう,名詞/サ変,9,反抗,
2362,反骨,はんこつ,名詞,9,反骨,
2363,逆さま,さかさま,名詞/形容動詞,9,颠倒,
2364,逆らう,さからう,自動詞,9,违抗,
2365,違反,いはん,名詞/サ変,9,违反,
2366,犯す,おかす,他動詞,9,犯,
2367,比べる,くらべる,他動詞,9,比较,
2368,对する,たいする,自動詞,9,面对，相对,
2369,反発,はんぱつ,名詞/サ変,9,反抗,
2370,万能,ばんのう,名詞/形容動詞,9,万能，全能,
2371,万歳,ばんざい,名詞/サ変,9,万岁,
2372,万全,ばんぜん,名詞/形容動詞,9,万全,
2373,万事,バんじ,名詞,9,万事,
2374,半端,はんぱ,名詞/形容動詞,9,零散；不彻底,
2375,不揃い,ふそろい,名詞/形容動詞,9,不整齐,
2376,いい加減,いいかげん,名詞/形容動詞,9,马虎,
2377,役に立つ,やくにたつ,動詞句,9,起作用,
2378,一人前,いちにんまえ,名詞,9,成人，独当一面,
2379,反発,はんぱつ,名詞/サ変,9,反抗，反感；排斥,
2380,猛反対,もうはんたい,名詞/サ変,9,强烈反对,
2381,賛成,さんせい,名詞/サ変,9,赞成,
2382,従う,したがう,自動詞,9,服从,
2383,受け付ける,うけつける,他動詞,9,受理,
2384,活発,かっぱつ,名詞/形容動詞,9,活泼,
2385,触発,しょくはつ,名詞/サ変,9,触发,
2386,ひいては,ひいては,接続詞,9,不但~而且，进而,
2387,ひいて,ひいて,接続詞,9,进而,
2388,更に,さらに,副詞,9,进一步,
2389,控える,ひかえる,他動詞,9,控制，记录；临近,
2390,間近,まぢか,名詞/形容動詞,9,接近,
2391,控除,こうじょ,名詞/サ変,9,扣除,
2392,抑制,よくせい,名詞/サ変,9,抑制,
2393,抑える,おさえる,他動詞,9,压制,
2394,メモする,めもする,名詞/サ変,9,记录,
2395,書き留める,かきとめる,他動詞,9,记下,
2396,临む,のぞむ,自動詞,9,临近，参加,
2397,密か,ひそか,形容動詞,9,暗中，悄悄,
2398,こっそり,こっそり,副詞,9,悄悄地,
2399,こそこそ,こそこそ,副詞/サ変,9,偷偷摸摸,
2400,そっと,そっと,副詞/サ変,9,静静地,
2401,隠れる,かくれる,自動詞,9,躲藏,
2402,人目を避ける,ひとめをさける,動詞句,9,避人耳目,
2403,そっくり,そっくり,副詞/形容動詞,9,一模一样,
2404,浸す,ひたす,他動詞,9,浸泡,
2405,椎茸,しいたけ,名詞,9,香菇,
2406,浸かる,つかる,自動詞,9,浸泡,
2407,浸ける,つける,他動詞,9,浸，泡,
2408,只管,ひたすら,副詞,9,只顾，一味,
2409,専ら,もっぱら,副詞,9,专，专门,
2410,一途に,いちずに,副詞,9,一心一意,
2411,一筋,ひとすじ,名詞/副詞,9,一心一意,
2412,引っ掻く,ひっかく,他動詞,9,抓，挠,
2413,抱く,いだく,他動詞,9,抱,
2414,爪,つめ,名詞,9,指甲,
2415,掻く,かく,他動詞,9,抓，挠,
2416,痒い,かゆい,形容詞,9,痒,
2417,掻き回す,かきまわす,他動詞,9,搅拌,
2418,引っ掛かる,ひっかかる,自動詞,9,挂住；受骗,
2419,引っ掛ける,ひっかける,他動詞,9,挂上；欺骗,
2420,引っ付く,ひっつく,自動詞,9,黏住,
2421,引っ張る,ひっぱる,他動詞,9,拉,
2422,匹敵,ひってき,名詞/サ変,9,匹敌，比得上,
2423,素敵,すてき,形容動詞,9,极好,
2424,水滴,すいてき,名詞,9,水滴,
2425,適切,てきせつ,名詞/形容動詞,9,适当,
2426,敌う,かなう,自動詞,9,敌得过,
2427,叶う,かなう,自動詞,9,实现,
2428,等しい,ひとしい,形容詞,9,相等,
2429,人柄,ひとがら,名詞,9,人品，人格,
2430,気品,きひん,名詞,9,品格,
2431,人垣,ひとがき,名詞,9,人群,
2432,人波,ひとなみ,名詞,9,人潮,
2433,人混み,ひとごみ,名詞,9,人多,
2434,人出,ひとで,名詞,9,外出人群,
2435,人一倍,ひといちばい,名詞/副詞,9,比别人倍加,
2436,人質,ひとじち,名詞,9,人质,
2437,品質,しんしつ,名詞,9,品质,
2438,一筋,ひとすじ,名詞/副詞,9,一心一意,
2439,忍耐,にんたい,名詞/サ変,9,忍耐,
2440,苦労人,くろうにん,名詞,9,饱经风霜的人,
2441,挫ける,くじける,自動詞,9,受挫,
2442,辛抱,しんぼう,名詞/サ変,9,忍耐,
2443,凌ぐ,しのぐ,他動詞,9,忍受,
2444,耐える,たえる,自動詞,9,忍受,
2445,堪える,こらえる,他動詞,9,忍住,
2446,人目,ひとめ,名詞,9,众目睽睽,
2447,昼間,ひるま,名詞,9,白天,
2448,人目につく,ひとめにつく,動詞句,9,引人注目,
2449,一目,ひとめ,名詞/副詞,9,一眼,
2450,一目惚れ,ひとめぼれ,名詞/サ変,9,一见钟情,
2451,日取り,ひどり,名詞,9,日期，日程,
2452,日付,ひづけ,名詞,9,日期,
2453,日程,にってい,名詞,9,日程,
2454,スケジュール,すけじゅーる,名詞,9,时间表,
2455,日向,ひなた,名詞,9,朝阳的地方,
2456,日当たり,ひあたり,名詞,9,向阳,
2457,罅・皹,ひび,名詞,9,裂缝，裂纹,
2458,割れる,われる,自動詞,9,裂开,
2459,割れ目,われめ,名詞,9,裂缝,
2460,裂ける,さける,自動詞,9,裂开,
2461,裂け目,さけめ,名詞,9,裂缝,
2462,役目,やくめ,名詞,9,任务,
2463,控え目,ひかえめ,名詞/形容動詞,9,节制,
2464,冷やかす,ひやかす,他動詞,9,调侃，嘲弄,
2465,誂う,からかう,他動詞,9,戏弄,
2466,冗談を言う,じょうだんをいう,動詞句,9,开玩笑,
2467,冷やす,ひやす,他動詞,9,使冷,
2468,冷える,ひえる,自動詞,9,变冷,
2469,ひょっとしたら,ひょっとしたら,副詞,9,也许，或许,
2470,ひょっとすると,ひょっとすると,副詞,9,或许,
2471,もしかしたら,もしかしたら,副詞,9,或者,
2472,もしかすると,もしかすると,副詞,9,或许,
2473,ことによると,ことによると,副詞,9,或许,
2474,平たい,ひらたい,形容詞,9,扁平；浅显,
2475,平ら,たいら,名詞/形容動詞,9,平坦,
2476,凸凹,でこぼこ,名詞/形容動詞/サ変,9,不平,
2477,平手,ひらて,名詞,9,手掌,
2478,片手,かたて,名詞,9,单手,
2479,不意,ふい,名詞/形容動詞,9,冷不防，突然,
2480,突然,とつぜん,副詞/形容動詞,9,突然,
2481,突如,とつじょ,副詞,9,突如其来,
2482,いきなり,いきなり,副詞,9,突然,
2483,思いがけない,おもいがけない,形容詞,9,没想到,
2484,思いもよらない,おもいもよらない,形容詞句,9,意想不到,
2485,忽ち,たちまち,副詞,9,立刻,
2486,俄に,にわかに,副詞,9,突然,
2487,咄嗟に,とっさに,副詞,9,瞬间,
2488,ブーム,ぶーむ,名詞,9,流行，潮流,
2489,流行る,はやる,自動詞,9,流行,
2490,流行,りゅうこう,名詞/サ変,9,流行,
2491,盛ん,さかん,名詞/形容動詞,9,繁荣,
2492,衰える,おとろえる,自動詞,9,衰落,
2493,下火,したび,名詞,9,衰退,
2494,膨れる,ふくれる,自動詞,9,膨胀；不高兴,
2495,膨らむ,ふくらむ,自動詞,9,膨胀,
2496,含む,ふくむ,他動詞,9,包含,
2497,遅れる,おくれる,自動詞,9,迟,
2498,不機嫌,ふきげん,名詞/形容動詞,9,不高兴,
2499,相応しい,ふさわしい,形容詞,9,相称，相符,
2500,該当,がいとう,名詞/サ変,9,符合,
2501,似合う,にあう,自動詞,9,合适,
2502,相応,そうおう,名詞/形容動詞/サ変,9,相称,
2503,不審,ふしん,名詞/形容動詞,9,可疑,
2504,ぶらつく,ぶらつく,自動詞,9,闲逛,
2505,審査,しんさ,名詞/サ変,9,审查,
2506,審判,しんぱん,名詞/サ変,9,裁判,
2507,疑わしい,うたがわしい,形容詞,9,可疑,
2508,怪しい,あやしい,形容詞,9,可疑,
2509,物議,ぶつぎ,名詞,9,公众的批评,
2510,引き起こす,ひきおこす,他動詞,9,引起,
2511,大騒ぎ,おおさわぎ,名詞/サ変,9,大吵大闹,
2512,復旧,ふっきゅう,名詞/サ変,9,恢复原状,
2513,懸命,けんめい,名詞/形容動詞,9,拼命,
2514,修復,しゅうふく,名詞/サ変,9,修复,
2515,復唱,ふくしょう,名詞/サ変,9,复述,
2516,復調,ふくちょう,名詞/サ変,9,恢复正常,
2517,復帰,ふっき,名詞/サ変,9,回归,
2518,復興,ふっこう,名詞/サ変,9,复兴,
2519,回復,かいふく,名詞/サ変,9,恢复,
2520,不当,ふとう,名詞/形容動詞,9,不合理,
2521,不案内,ふあんない,名詞/形容動詞,9,不熟悉,
2522,不運,ふうん,名詞/形容動詞,9,不幸,
2523,不得手,ふえて,名詞/形容動詞,9,不擅长,
2524,不規則,ふきそく,名詞/形容動詞,9,不规则,
2525,不始末,ふしまつ,名詞,9,疏忽大意,
2526,始末,しまつ,名詞/サ変,9,处理,
2527,不順,ふじゅん,名詞/形容動詞,9,不正常,
2528,不備,ふび,名詞/形容動詞,9,不完善,
2529,不気味,ぶきみ,名詞/形容動詞,9,令人毛骨悚然,
2530,不器用,ぶきよう,名詞/形容動詞,9,笨拙,
2531,無難,ぶなん,名詞/形容動詞,9,无可厚非，稳妥,
2532,丁重,ていちょう,名詞/形容動詞,9,郑重,
2533,無理,むり,名詞/形容動詞/サ変,9,无理,
2534,無料,むりょう,名詞,9,免费,
2535,無事,ぶじ,名詞/形容動詞,9,平安,
2536,無愛想,ぶあいそう,名詞/形容動詞,9,冷淡,
2537,無遠慮,ぶえんりょ,名詞/形容動詞,9,不客气,
2538,無作法,ぶさほう,名詞/形容動詞,9,没规矩,
2539,無礼,ぶれい,名詞/形容動詞,9,无礼,
2540,作法,さほう,名詞,9,礼节,
2541,踏まえる,ふまえる,他動詞,9,根据，依据,
2542,踏む,ふむ,他動詞,9,踩,
2543,根拠,こんきょ,名詞,9,根据,
2544,前提,ぜんてい,名詞,9,前提,
2545,基づく,もとづく,自動詞,9,基于,
2546,踏み込む,ふみこむ,自動詞,9,跨进,
2547,ふらふら,ふらふら,副詞/サ変/形容動詞,9,摇晃，晕乎乎,
2548,よちよち,よちよち,副詞/サ変,9,东倒西歪,
2549,定まる,さだまる,自動詞,9,定下,
2550,ぶらぶら,ぶらぶら,副詞/サ変/形容動詞,9,溜达；赋闲,
2551,彷徨う,さまよう,自動詞,9,彷徨,
2552,うろうろ,うろうろ,副詞/サ変,9,徘徊,
2553,うろつく,うろつく,自動詞,9,闲逛,
2554,振り返る,ふりかえる,他動詞,9,回头看；回顾,
2555,振り向く,ふりむく,自動詞,9,回头,
2556,顧みる,かえりみる,他動詞,9,顾及；回顾,
2557,回顧,かいこ,名詞/サ変,9,回顾,
2558,振り出し,ふりだし,名詞,9,出发点，最初,
2559,出発点,しゅっぱつてん,名詞,9,出发点,
2560,震わせる,ふるわせる,他動詞,9,使~哆嗦,
2561,濡れる,ぬれる,自動詞,9,淋湿,
2562,ずぶ濡れ,ずぶぬれ,名詞,9,全身湿透,
2563,震える,ふるえる,自動詞,9,震动,
2564,紛失,ふんしつ,名詞/サ変,9,丢失,
2565,無くす,なくす,他動詞,9,丢,
2566,遺失,いしつ,名詞/サ変,9,丢失,
2567,落とす,おとす,他動詞,9,丢,
2568,紛れる,まぎれる,自動詞,9,混淆；排遣,
2569,失う,うしなう,他動詞,9,失去,
2570,占う,うらなう,他動詞,9,占卜,
2571,潤う,うるおう,自動詞,9,湿润,
2572,敬う,うやまう,他動詞,9,尊敬,
2573,疑う,うたがう,他動詞,9,怀疑,
2574,疑わしい,うたがわしい,形容詞,9,可疑,
2575,ふんだん,ふんだん,形容動詞,9,大量，很多,
2576,夥しい,おびただしい,形容詞,9,很多,
2577,幾多,いくた,名詞/副詞,9,许多,
2578,大量,たいりょう,名詞/形容動詞,9,大量,
2579,たくさん,たくさん,名詞/副詞/形容動詞,9,很多,
2580,莫大,ばくだい,名詞/形容動詞,9,莫大,
2581,少なくない,すくないくない,形容詞,9,不少,
2582,閉口,へいこう,名詞/サ変,9,受不了；闭口无言,
2583,問い詰める,といつめる,他動詞,9,追问,
2584,咎める,とがめる,自他動詞,9,责备,
2585,詰る,なじる,他動詞,9,责问,
2586,辟易,へきえき,名詞/サ変,9,感到为难，厌倦,
2587,うんざり,うんざり,副詞/サ変,9,厌烦,
2588,飽きる,あきる,自動詞,9,厌腻,
2589,ぺこぺこ,ぺこぺこ,形容動詞/副詞/サ変,9,饿；点头哈腰,
2590,上役,うわやく,名詞,9,上司,
2591,上,うえ,名詞,9,上,
2592,じょう,じょう,名詞,9,上,
2593,上手,じょうず,名詞/形容動詞,9,擅长,
2594,うわ,うわ,名詞,9,上,
2595,上値,うわね,名詞,9,高价,
2596,上回る,うわまわる,他動詞,9,超过,
2597,隔たる,へだたる,自動詞,9,距离，相隔,
2598,隔てる,へだてる,他動詞,9,隔开,
2599,離れる,はなれる,自動詞,9,离开,
2600,遠ざかる,とおざかる,自動詞,9,远离,
2601,弁解,べんかい,名詞/サ変,9,辩解,
2602,言い訳,いいわけ,名詞/サ変,9,辩解,
2603,弁明,べんめい,名詞/サ変,9,辩明,
2604,口実,こうじつ,名詞,9,借口,
2605,弁償,べんしょう,名詞/サ変,9,赔偿,
2606,勘弁,かんべん,名詞/サ変,9,原谅,
2607,合弁,ごうべん,名詞/サ変,9,合办,
